SessionGUID;string;GUID идентификатор сессии пользователя.
ActualDate;string;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_Language;int;Идентификатор языка на котором будет выводиться текстовая информация справочника. Информацию о языках можно получить с помощью метода LanguagesGet
UniversityKode;string;GUID идентификатор учебного заведения.
Id_AcademicYear;int;Идентификатор учебного года
Id_UniversityGroup;int;Идентификатор учебной группы. Параметр не обязательный, для игнорирования параметра необходимо указать 0.
UniversityFacultetKode;string;GUID идентификатор структурного подразделения. Параметр не обязательный, для игнорирования параметра необходимо указать пустую строку.
Id_PersonEducationForm;int;Идентификатор формы обучения. Параметр не обязательный, для игнорирования параметра необходимо указать 0.
Id_Qualification;int;Идентификатор квалификационного уровня. Параметр не обязательный, для игнорирования параметра необходимо указать 0.
SpecCode;string;GUID идентификатор.
Id_Course;int;Идентификатор курса. Параметр не обязательный, для игнорирования параметра необходимо указать 0.
Filters;string;Параметр зарезервирован
IgnoreSpec;int;Флаг, указывающий на то что параметр SpecCodeигнорируется. Возможные значения: 0- используется 1- игнорируется 